id,name,category,latitude,longitude
1,Red Fort,Heritage,28.656081,77.2407959
2,Qutub Minar,Heritage,28.524413,77.1854501
3,Humayun\,Heritage,28.5930135,77.2482725
4,India Gate,History,28.6129332,77.2294928
5,Lotus Temple,Culture,28.5533586,77.2586006
6,Safdarjung Tomb,Heritage,28.5892861,77.2131643
7,Purana Qila,Heritage,28.6091959,77.2441111
8,Agrasen ki Baoli,Heritage,28.6260676,77.2250111
9,Jama Masjid,History,28.6506822,77.232961
10,Raj Ghat,History,28.644154,77.2498378
11,Zafar Mahal,Heritage,28.657782,77.2426381
12,Salimgarh Fort,Heritage,28.6609186,77.2427074
13,Feroz Shah Kotla,Heritage,28.6377017,77.2431069
14,Jantar Mantar,Heritage,28.6271791,77.2166166
15,Gurudwara Bangla Sahib,Culture,28.625421,77.2095761
16,ISKCON Temple,Culture,28.6006842,77.0365926
17,Akshardham Temple,Culture,28.6125167,77.2773184
18,Lodi Gardens,Heritage,28.5945664,77.2218564
19,National Museum,Culture,28.6119151,77.2196391
20,National Gallery of Modern Art,Culture,28.6096334,77.2341764
21,Dilli Haat,Market,28.6958325,77.1498803
22,Chandni Chowk,Market,28.6559834,77.2321937
23,Connaught Place,Market,28.6314022,77.2193791
24,Hauz Khas Village,Market,28.5533674,77.194849
25,Nizamuddin Dargah,Culture,28.5913671,77.2419807
26,Tughlaqabad Fort,Heritage,28.5111925,77.2623265
27,Mehrauli Archaeological Park,Heritage,28.5212377,77.1858618
28,Sultan Garhi Tomb,Heritage,28.5333746,77.1370628
29,Bhool Bhulaiya,Heritage,,
30,Adilabad Fort,Heritage,28.5060271,77.2680934
31,Chhatarpur Temple,Culture,,
32,Kalkaji Mandir,Culture,28.5494785,77.25909
33,Nehru Planetarium,Science,28.6038957,77.1981214
34,National Science Centre,Science,28.6256148,77.1621057
35,National Rail Museum,Culture,28.5851098,77.1810104
36,Crafts Museum,Culture,28.6139092,77.2422964
37,Sanskriti Museum,Culture,28.4879067,77.1277713
38,Shankar\,Culture,28.5574387,77.1396655
39,Sulabh International Museum of Toilets,Culture,28.596977,77.0806365
40,Gandhi Smriti,History,28.6018543,77.2143898
41,Indira Gandhi Memorial Museum,History,28.5999691,77.2061494
42,Nehru Memorial Museum and Library,History,,
43,National Gandhi Museum,History,28.6389443,77.2460725
44,Dara Shikoh Library,History,28.6634955,77.2330896
45,Mirza Ghalib Tomb,History,28.5914282,77.2430127
46,Razia Sultan Tomb,History,,
47,Jahaz Mahal,Heritage,28.5143722,77.1785585
48,Moth Ki Masjid,Heritage,28.5626385,77.2179673
49,Kalan Masjid,Heritage,,
50,Khirki Masjid,Heritage,28.5314563,77.2197454
51,Madan Mohan Malaviya Memorial,History,,
52,Bhuli Bhatiyari Ka Mahal,Heritage,28.6418642,77.1981465
53,Bijri Khan\,Heritage,28.5586267,77.1817513
54,Bara Gumbad Mosque,Heritage,,
55,Sheesh Mahal,Heritage,28.7149047,77.1510025
56,Satpula Bridge,Heritage,,
57,Wazirpur Mosque,Heritage,,
58,Chauburja Mosque,Heritage,,
59,Gandhi Memorial Museum,History,28.5999691,77.2061494
60,National Philatelic Museum,Culture,,
61,National Museum of Natural History,Culture,,
62,Air Force Museum,History,28.5742573,77.1169532
63,Egmore Museum,Culture,,
64,Archaeological Museum,Culture,28.6087534,77.2424545
65,National Police Memorial,History,28.6034506,77.1938647
66,War Memorial Museum,History,28.6558327,77.2409945
67,Shankar\,Culture,28.5574387,77.1396655
68,National Museum Institute,Culture,,
69,Indira Gandhi Centre for Arts,Culture,,
70,Sangeet Natak Akademi,Culture,,
71,National Gallery of Modern Art,Culture,28.6096334,77.2341764
72,Lalit Kala Akademi,Culture,,
73,Triveni Kala Sangam,Culture,,
74,Sahitya Akademi,Culture,,
75,National School of Drama,Culture,28.6245644,77.2342196
76,Bhagwan Das Road Heritage Walk,Heritage,,
77,Alai Darwaza,Heritage,28.5242011,77.185688
78,Alai Minar,Heritage,28.5257929,77.1853469
79,Jamali Kamali Mosque,Heritage,28.519401,77.187165
80,Balban\,Heritage,28.519675,77.1887862
81,Rajon Ki Baoli,Heritage,28.5203127,77.1833632
82,Gandhak Ki Baoli,Heritage,28.5208507,77.1816515
83,Yogmaya Temple,Heritage,28.5257019,77.1822181
84,Adam Khan\,Heritage,,
85,Chhatarpur Temple Complex,Heritage,,
86,Lotus Temple Gardens,Heritage,,
87,Sanjay Van,Heritage,28.5324866,77.180585
88,Deer Park,Heritage,28.5566618,77.1946141
89,Rose Garden,Heritage,28.5220085,77.1884779
90,Buddha Jayanti Park,Heritage,28.615611,77.177741
91,National Zoological Park,Heritage,28.6026948,77.247176
92,National Museum of Natural History,Culture,,
93,National Agricultural Science Museum,Culture,,
94,National Science Center,Science,28.6134283,77.2454509
95,National Handicrafts and Handlooms Museum,Culture,,
96,National Gallery of Modern Art,Culture,28.6096334,77.2341764
97,National Museum Institute,Culture,,
98,National Archives of India,History,28.6152861,77.2176077
99,National Library,History,28.5681491,77.2154858
100,National Film Archive of India,Culture,,
101,National School of Drama Repertory Company,Culture,,
102,Sangeet Natak Akademi Auditorium,Culture,,
103,Triveni Kala Sangam Open Air Theatre,Culture,,
104,India International Centre,Culture,28.551953,77.0426762
105,All India Fine Arts and Crafts Society,Culture,28.6177166,77.2118565
106,Garhi Studios,Culture,,
